id;name;category;rec;target;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;5;1;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;5;1;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;4;1;;;;;;
1;Галерея Тверская 9;5;5;1;;;;;;
1;Галерея Тверская 9;5;5;1;;;;;;
1;Галерея Тверская 9;4;5;1;;;;;;
1;Галерея Тверская 9;4;4;1;;;;;;
1;Галерея Тверская 9;4;5;1;;;;;;
1;Галерея Тверская 9;4;5;1;;;;;;
1;Галерея Тверская 9;4;3;1;;;;;;
1;Галерея Тверская 9;4;3;1;;;;;;
1;Галерея Тверская 9;4;5;1;;;;;;
1;Галерея Тверская 9;4;5;1;;;;;;
1;Галерея Тверская 9;4;3;1;;;;;;
1;Галерея Тверская 9;4;4;1;;;;;;
1;Галерея Тверская 9;3;3;0;;;;;;
1;Галерея Тверская 9;3;4;0;;;;;;
1;Галерея Тверская 9;3;3;0;;;;;;
1;Галерея Тверская 9;3;4;0;;;;;;
1;Галерея Тверская 9;3;4;0;;;;;;
1;Галерея Тверская 9;3;3;0;;;;;;
1;Галерея Тверская 9;3;2;0;;;;;;
1;Галерея Тверская 9;3;3;0;;;;;;
1;Галерея Тверская 9;3;3;0;;;;;;
1;Галерея Тверская 9;3;4;0;;;;;;
1;Галерея Тверская 9;3;4;0;;;;;;
1;Галерея Тверская 9;2;3;0;;;;;;
1;Галерея Тверская 9;2;1;0;;;;;;
1;Галерея Тверская 9;2;2;0;;;;;;
1;Галерея Тверская 9;2;2;0;;;;;;
1;Галерея Тверская 9;2;1;0;;;;;;
1;Галерея Тверская 9;2;2;0;;;;;;
1;Галерея Тверская 9;2;2;0;;;;;;
1;Галерея Тверская 9;2;3;0;;;;;;
1;Галерея Тверская 9;2;1;0;;;;;;
1;Галерея Тверская 9;2;3;0;;;;;;
1;Галерея Тверская 9;1;1;0;;;;;;
